,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
6106,PacTwelve,,61,24,70,6,23,7,11,15,38,10,3,7,14,22,PacTwelve,68,21,52,7,18,19,26,7,36,13,8,3,11,16
6107,PacTwelve,,83,30,58,11,18,12,18,5,25,15,6,6,12,16,PacTwelve,64,22,56,6,24,14,20,10,31,16,6,3,15,14
6108,PacTwelve,@,65,26,63,5,19,8,15,11,38,9,8,4,21,15,PacTwelve,67,23,56,10,25,11,16,4,31,14,12,4,19,16
6109,PacTwelve,@,87,26,57,8,28,27,33,9,38,9,8,2,19,26,PacTwelve,83,24,62,9,31,26,35,9,29,10,12,5,14,23
6110,PacTwelve,,84,29,58,14,24,12,17,2,32,16,4,4,8,14,PacTwelve,66,22,58,7,25,15,22,5,30,10,4,2,10,15
6111,PacTwelve,,66,21,67,8,25,16,20,14,38,7,12,5,16,17,PacTwelve,64,23,55,8,20,10,17,12,39,11,9,9,24,19
6112,PacTwelve,@,74,29,53,5,16,11,16,8,29,9,5,0,19,19,PacTwelve,69,26,50,6,21,11,16,4,19,13,9,4,18,15
6113,PacTwelve,@,80,26,53,7,15,21,30,5,30,8,5,4,9,18,PacTwelve,75,27,58,7,18,14,20,6,31,10,4,1,9,24
6114,PacTwelve,,77,29,60,8,21,11,21,8,32,17,9,1,11,16,PacTwelve,72,26,62,8,28,12,19,12,39,14,6,5,15,20
6115,PacTwelve,,74,26,53,7,25,15,20,7,24,10,8,4,11,16,PacTwelve,73,26,52,10,22,11,13,5,23,16,7,2,13,20
6116,PacTwelve,@,72,26,57,10,19,10,11,6,26,6,9,4,14,21,PacTwelve,75,27,62,8,22,13,17,14,38,16,8,4,16,13
6117,PacTwelve,@,61,19,58,7,29,16,23,4,25,8,9,2,10,21,PacTwelve,71,24,48,9,20,14,21,6,36,11,7,4,19,19
6118,PacTwelve,,83,29,71,11,31,14,18,14,33,18,8,2,9,19,PacTwelve,90,30,59,11,26,19,22,8,36,19,6,4,14,12
6119,PacTwelve,,83,28,69,7,29,20,25,9,35,14,13,5,16,21,PacTwelve,74,26,71,5,25,17,21,14,43,9,8,6,20,22
6120,PacTwelve,@,52,17,56,4,15,14,17,11,35,3,3,2,18,12,PacTwelve,68,25,54,9,23,9,14,4,28,14,8,5,10,13
6121,PacTwelve,,73,26,51,4,12,17,20,5,32,12,2,2,16,22,PacTwelve,66,19,49,7,25,21,28,6,23,10,5,2,12,21
6122,PacTwelve,,61,26,65,6,18,3,4,8,33,14,5,0,10,17,PacTwelve,58,18,61,8,32,14,18,12,37,10,3,4,13,10
6123,PacTwelve,@,56,20,59,5,25,11,22,4,26,8,7,2,10,25,PacTwelve,88,26,52,14,23,22,33,5,43,21,5,3,14,17
6124,PacTwelve,@,40,17,56,3,17,3,4,13,31,6,5,2,13,16,PacTwelve,50,19,46,4,16,8,13,9,29,13,10,3,13,15
6125,PacTwelve,,52,18,55,3,12,13,17,5,26,9,7,4,7,15,PacTwelve,50,19,43,2,12,10,15,3,30,5,2,5,15,17
6126,PacTwelve,,72,23,47,9,18,17,23,6,23,13,2,1,13,18,PacTwelve,77,27,52,10,18,13,18,6,25,14,7,3,12,19
6127,PacTwelve,,69,26,52,3,14,14,17,7,30,9,2,3,8,18,PacTwelve,67,19,52,5,20,24,30,7,26,9,4,2,8,15
6128,PacTwelve,@,65,25,45,7,13,8,17,2,22,9,4,0,11,22,PacTwelve,71,24,50,7,24,16,24,9,31,15,4,1,8,15
6129,PacTwelve,@,45,16,50,3,11,10,13,7,31,7,3,4,16,16,PacTwelve,60,24,53,5,18,7,10,2,28,14,10,4,9,20
6130,PacTwelve,@,66,20,46,5,14,21,24,4,30,9,5,1,13,20,PacTwelve,57,17,57,5,23,18,23,11,31,8,6,5,10,20
6131,PacTwelve,@,52,11,46,2,13,28,36,8,24,6,5,3,16,23,PacTwelve,87,27,52,11,22,22,26,8,32,15,6,7,15,21
6132,PacTwelve,,76,25,54,9,20,17,22,4,27,9,4,1,6,15,PacTwelve,62,25,61,6,29,6,9,8,32,12,2,2,11,17
6133,PacTwelve,,86,29,66,2,9,26,33,15,36,10,5,7,8,19,PacTwelve,79,29,58,7,17,14,19,7,28,10,3,3,10,23
6134,PacTwelve,@,56,20,56,7,23,9,10,8,24,9,3,4,9,17,PacTwelve,90,31,52,12,17,16,20,7,31,18,3,5,8,14
6135,PacTwelve,@,56,17,46,4,17,18,22,6,31,13,5,5,16,20,PacTwelve,74,24,54,9,22,17,22,5,31,19,11,4,8,16
6136,PacTwelve,N,63,22,46,3,12,16,20,3,36,7,4,2,12,17,PacTwelve,51,17,53,5,12,12,18,3,25,7,4,3,10,17
6137,PacTwelve,@,66,24,61,10,26,8,15,17,32,15,6,2,13,25,PacTwelve,64,19,46,3,12,23,32,11,27,8,5,9,14,17
6138,PacTwelve,@,71,26,62,6,21,13,21,10,40,9,3,5,15,27,PacTwelve,79,25,59,6,20,23,32,6,33,11,7,4,9,18
6139,PacTwelve,,63,22,58,3,13,16,22,10,28,9,6,3,7,19,PacTwelve,74,27,47,7,14,13,21,7,31,11,4,7,11,18
6140,PacTwelve,,59,21,53,5,16,12,16,9,32,15,5,6,15,19,PacTwelve,74,24,47,8,17,18,26,6,29,15,2,5,11,19
6141,PacTwelve,@,62,20,49,6,24,16,21,6,25,12,13,3,10,26,PacTwelve,58,15,41,5,16,23,29,6,23,10,4,6,14,19
6142,PacTwelve,@,75,26,52,10,24,13,16,6,20,15,7,1,20,18,PacTwelve,96,32,56,11,23,21,24,7,22,14,15,3,13,20
6143,PacTwelve,,72,21,54,5,15,25,29,12,36,8,8,4,10,24,PacTwelve,68,19,45,7,20,23,31,6,28,8,3,1,10,23
6144,PacTwelve,,73,25,51,6,14,17,22,7,30,14,10,2,10,14,PacTwelve,57,22,56,9,25,4,5,7,28,14,3,1,15,19
6145,PacTwelve,,86,33,72,7,25,13,22,14,40,17,8,6,12,17,PacTwelve,83,29,65,11,26,14,17,6,31,17,7,0,13,18
6146,PacTwelve,,67,21,51,7,25,18,23,10,30,17,7,2,13,14,PacTwelve,57,21,51,8,24,7,11,7,29,11,7,3,18,18
